strategy,window,sharpe_ratio,annualized_return,annualized_volatility,volatility_ratio,exceeds_constraint,mean_allocation,std_allocation,allocation,method
Momentum (5d),5.0,3.9300980000395485,0.5452276878195267,0.13873132115637832,0.9271421146322808,False,1.0678391959798994,0.4953764664260917,,
Buy & Hold (2.0),,1.0417843130323077,0.31176697011370375,0.29926249245033054,1.999972736998403,True,2.0,0.0,2.0,
LightGBM (proportional),,1.0337089242532937,0.14884716723605998,0.14399330773271665,0.9623079972958922,False,0.9065088561504893,0.11049184511776991,,proportional
XGBoost (proportional),,0.6186222176938125,0.09364067325758019,0.1513697222299373,1.0116046123526208,False,0.8837282061576843,0.28221213817596436,,proportional
Volatility-Based,,0.6168748527806727,0.12570958451299638,0.2037845827988257,1.361893388246406,True,1.1062813997268677,0.473080039024353,,
